Repeating words      |  Times repeated  |  Rows
than                 |  12              |  58 96 110 120 133 136 143 148 184 186 237 
that                 |  27              |  52 60 83 87 100 114 116 118 120 133 136 166 168 211 219 228 233 237 267 
the                  |  262             |  4 9 14 43 45 47 52 54 58 60 65 83 87 96 98 100 104 105 106 107 108 110 112 114 116 118 120 125 133 136 139 141 143 164 165 168 170 172 174 176 180 181 182 184 186 193 211 214 215 216 217 219 221 224 226 228 233 235 237 240 245 257 267 273 279 285 290 291 
their                |  16              |  43 52 54 100 133 148 170 174 182 184 221 245 267 273 279 
them                 |  4               |  54 60 118 182 
then                 |  3               |  83 143 182 
therapy              |  3               |  168 
there                |  5               |  45 141 168 237 240 
these                |  2               |  60 83 
they                 |  17              |  43 47 52 60 98 120 133 166 172 176 184 267 
this                 |  5               |  11 58 98 143 285 
those                |  4               |  60 83 112 
though               |  2               |  100 143 
three                |  10              |  45 60 83 118 127 143 170 273 
throat               |  2               |  85 86 
through              |  2               |  60 120 
throughout           |  4               |  112 116 168 176 
time                 |  5               |  47 130 136 141 233 
to                   |  76              |  43 45 47 52 54 58 60 65 67 83 87 95 98 100 116 118 120 130 133 136 143 150 166 170 172 182 184 186 189 211 214 215 219 233 235 237 240 257 260 267 273 279 284 
toes                 |  4               |  96 273 
top                  |  2               |  9 65 
tract                |  2               |  143 148 
traditionally        |  2               |  50 51 
transport            |  2               |  233 267 
treat                |  3               |  166 211 
true                 |  2               |  54 83 
two                  |  9               |  52 54 83 98 114 143 184 273 
type                 |  3               |  100 168 235 
typically            |  2               |  65 136 
under                |  2               |  52 100 
ungulate             |  4               |  6 267 270 291 
ungulates            |  6               |  54 273 279 284 285 
until                |  3               |  127 143 240 
unusual              |  3               |  125 130 
up                   |  4               |  136 168 170 240 
use                  |  4               |  182 184 219 235 
used                 |  8               |  14 182 189 224 245 
uses                 |  3               |  210 233 245 
using                |  3               |  43 143 257 
usually              |  3               |  136 170 
value                |  3               |  186 240 
various              |  2               |  112 245 
very                 |  7               |  54 83 98 112 166 170 184 
vicua                |  9               |  52 107 108 110 112 114 136 
vicuas               |  2               |  52 285 
vicugna              |  3               |  52 107 
was                  |  10              |  43 52 60 168 219 224 226 233 240 
water                |  4               |  47 120 
way                  |  2               |  170 211 
weigh                |  4               |  65 
weight               |  4               |  43 151 273 
well                 |  3               |  98 211 224 
were                 |  17              |  45 52 58 60 224 228 233 237 240 
when                 |  6               |  136 141 166 176 237 
where                |  4               |  47 60 120 182 
which                |  11              |  54 83 130 166 170 172 189 211 240 245 
while                |  6               |  52 65 114 174 279 
white                |  3               |  108 189 
wide                 |  2               |  148 
widely               |  2               |  14 245 
wild                 |  10              |  52 108 112 114 136 279 285 
will                 |  10              |  47 133 136 166 170 172 174 
with                 |  29              |  43 50 51 52 54 65 83 100 136 139 141 170 176 184 224 228 240 245 285 291 
withers              |  2               |  85 86 
within               |  2               |  136 143 
wool                 |  3               |  43 200 201 
would                |  2               |  58 182 
wrestling            |  2               |  166 170 
yarn                 |  2               |  191 192 
year                 |  2               |  139 186 
years                |  10              |  11 45 58 60 65 127 184 
you                  |  2               |  9 257 

Total word sum: 4758

URL's: 
vu.site
vu.lt
delfi.lt
https://delfi.lt
